LANGUAGE,TWEET,CREATED_AT,FAVORITE_COUNT
en,"@RonniSalt Where were you (and your male colleagues) with genuine pleas to engage in the #metoo movement? Please stop lowering yourselves to this patriarchal media stunt request. We need you to stand up authentically for real issues of bullying, and the misogyny in parliament and beyond",2022-10-28T14:58:28.000Z,2
en,"If you follow any economists on here, in the past week you've probably seen a boiling over of anger. @jenniferagerson talked to the women who are collecting and amplifying the field's #MeToo stories https://t.co/qmhRNL4oTm",2022-10-28T14:39:45.000Z,17
en,"If you follow any economists on here, in the past week you've probably seen a boiling over of anger. @jenniferagerson talked to the women who are collecting and amplifying the field's #MeToo stories https://t.co/qmhRNL4oTm",2022-10-28T14:39:45.000Z,17
en,"🎃HAPPY HALLOWEEN EVERYONE🎃

""KELLCEY"" and ""(His)Story of Women"" are available worldwide on Amazon #MeToo #womenempowerment #stopviolenceagainstwomen https://t.co/j0CPbabNLj",2022-10-28T14:05:22.000Z,56
en,"😩 Yet another sign that the current reporting mechanism is not incentive compatible. 

Can we find ways to support reporting instead of discouraging it? 

📢💬 #MeToo #EconTwitter",2022-10-28T14:52:40.000Z,4
en,#MeToo turns five: Taking stock of gender-based violence in Canadian politics https://t.co/dzpk99dKg2 via @ConversationCA,2022-10-28T14:54:32.000Z,0
en,"Former @Carroll4IL staffer Elly Fawcett-Neal alleges Carroll and his COS pressured her to get an abortion then fired her when she refused. Complaint field with Leg. IG. What do all those putative #MeToo champions in Springfield have to say? @MorningAnswer

https://t.co/uNMfpXIluG",2022-10-28T14:54:12.000Z,31
en,Photos of Wisconsin volleyball team leaked came from a PLAYER'S phone https://t.co/VkeRKBagr1 via @MailOnline Is this part of the #metoo movement?,2022-10-28T14:53:15.000Z,0
en,"😩 Yet another sign that the current reporting mechanism is not incentive compatible. 

Can we find ways to support reporting instead of discouraging it? 

📢💬 #MeToo #EconTwitter",2022-10-28T14:52:40.000Z,4
en,"Imran Khan praised me, says PTI's Naeemul Haque after justifying Daniyal Aziz slap (Dawn 25 May 2018) Zahra Shahid's Email Containing Serious Allegations Against Naeem-ul-Haq
#SexualHarassment #Metoo
#PTI100DaysAgenda https://t.co/Uoxqd1WmY7",2018-05-25T15:43:21.000Z,18
en,"Imran Khan praised me, says PTI's Naeemul Haque after justifying Daniyal Aziz slap (Dawn 25 May 2018) Arshad Sharif Showing Zahra Shahid's Email Containing Serious Allegations Against Naeem-ul-Haq
#SexualHarassment #Metoo
#PTI100DaysAgenda https://t.co/KIWuhItqyQ",2018-05-25T15:01:33.000Z,13
en,"I struggle to understand how people are surprised about #MeToo #EconTwitter. When careers are determined by recommendations and connections to such a large extent and people at the ""top"" are idolized, the resulting power imbalances are bound to generate abuse in many forms.",2022-10-23T16:41:18.000Z,454
en,"On #EconTwitter, #MeToo anger is boiling over https://t.co/jbiivKSMTt via @jenniferagerson @19thnews",2022-10-28T14:33:18.000Z,12
en,Now! Enjoying our In Conversations session with Heather Berg #MeToo #Feminism https://t.co/GZeHdHGDGL,2022-10-28T14:49:58.000Z,8
en,@SchmanthonyP I felt like this is a story that could have been told and framed in a completely different manner and it being told like a “horror story” damaged a lot of the #Metoo stuff and lightly showcased the dereliction of Detroit which I’ve seen first hand a few times.,2022-10-28T14:49:53.000Z,0
en,Kathryn L. Barcroft leads our Sexual Harassment Practice Group with vast experience litigating claims of workplace misconduct and having worked on sexual harassment cases concerning the #MeToo Movement. Call 914-287-6161. https://t.co/uT9T8QbKOJ #NYLawFirms #SexualHarassment https://t.co/WWNUoBz0j2,2022-10-28T14:49:04.000Z,0
en,"@Desolatej All the things I liked were the non-horror things, the #MeToo stuff with Justin Long, the flashback stuff with Detroit formerly being a fancy suburb and going downhill allowing him to do those things; but the actual horror stuff failed for me",2022-10-28T14:47:24.000Z,1
en,"”Michel Ocelot was a pioneer with #Kirikou. But in the post #MeToo era, where gender stereotypes are being questioned more than ever…the director who was ahead of his time in the representation of #diversity now seems behind,” says @MabrouckRachedi:

https://t.co/3zPMKxRKE8",2022-10-28T14:47:00.000Z,11
en,"Nothing but respect and gratitude to all women coming forward with their stories during the #MeToo #EconTwitter In my eyes, this is an important step forward in making the field fairer and more accountable.",2022-10-28T14:46:37.000Z,3
en,"Nothing but respect and gratitude to all women coming forward with their stories during the #MeToo #EconTwitter In my eyes, this is an important step forward in making the field fairer and more accountable.",2022-10-28T14:46:37.000Z,3
en,"I guess the #metoo movement, doesn’t apply to all victims in NJ. https://t.co/9s0nDqVuDo",2022-10-28T10:57:07.000Z,44
en,"#MeToo went viral 5 years ago. ""Five years later, what lessons have we learned about gender-based violence in #CdnPoli?"" @tracey_raney, professor politics &amp; public administration @TorontoMet reflects in @ConversationCA op ed

Raney's #InformedOps @ https://t.co/BSvB1ve2vU",2022-10-28T14:42:59.000Z,3
en,"I guess the #metoo movement, doesn’t apply to all victims in NJ. https://t.co/9s0nDqVuDo",2022-10-28T10:57:07.000Z,44
en,"#MeToo went viral 5 years ago. ""Five years later, what lessons have we learned about gender-based violence in #CdnPoli?"" @tracey_raney, professor politics &amp; public administration @TorontoMet reflects in @ConversationCA op ed

Raney's #InformedOps @ https://t.co/BSvB1ve2vU",2022-10-28T14:42:59.000Z,3
en,"If you follow any economists on here, in the past week you've probably seen a boiling over of anger. @jenniferagerson talked to the women who are collecting and amplifying the field's #MeToo stories https://t.co/qmhRNL4oTm",2022-10-28T14:39:45.000Z,17
en,"@SydneyLWatson Me too. Not #metoo, just me, too.",2022-10-28T14:41:32.000Z,0
en,"I guess the #metoo movement, doesn’t apply to all victims in NJ. https://t.co/9s0nDqVuDo",2022-10-28T10:57:07.000Z,44
en,"If you follow any economists on here, in the past week you've probably seen a boiling over of anger. @jenniferagerson talked to the women who are collecting and amplifying the field's #MeToo stories https://t.co/qmhRNL4oTm",2022-10-28T14:39:45.000Z,17
en,"Shame on you, Gizy! Knowing the type of climate we live in, especially with the #MeToo movement. Why would you make such a heinous accusation against @cbassett33. Leave @TherealCANDIACE and her man alone..#RHOP https://t.co/Nzy1bxs1g5",2022-10-28T14:38:21.000Z,0
en,"@ynwajustice4 @saintefi @Bowen76 @FCHWPO Shalom, AMEN https://t.co/seP0S2Vcvt
GOD bless you. 👁️🙏🏿👁️✝️
Late 1st early 2nd Century Roman Catacombs of Domittilla Italy. Lord JESUS The CHRIST YESHUA HAMASHIACH (center) teaching disciples in The Last Supper.
#JesusIsLord #KINGDOM #metoo #bingejesus 
#RepresentationMatters https://t.co/WN47FqRG92",2022-10-28T14:37:35.000Z,0
en,"On #EconTwitter, #MeToo anger is boiling over https://t.co/jbiivKSMTt via @jenniferagerson @19thnews",2022-10-28T14:33:18.000Z,12
en,"Practical mentorship strategies for women in academic medicine by Sunita Sharma. 

These are key behaviors that men need to adopt today.  Esp in healthcare and medicine! 

#heforshe #mentorship #timesup https://t.co/ICDkqBueVE",2022-10-28T14:36:13.000Z,12
en,"@dinomals @kennykeil @kharyrandolph Shalom, AMEN https://t.co/seP0S3cfxt
GOD bless you. 👁️🙏🏿👁️✝️
Late 1st early 2nd Century Roman Catacombs of Domittilla Italy. Lord JESUS The CHRIST YESHUA HAMASHIACH (center) teaching disciples in The Last Supper.
#JesusIsLord #KINGDOM #metoo #bingejesus 
#RepresentationMatters https://t.co/RzhGHSbdA0",2022-10-28T14:35:12.000Z,0
en,"@PopBase Shalom, AMEN https://t.co/seP0S3cfxt
GOD bless you. 👁️🙏🏿👁️✝️
Late 1st early 2nd Century Roman Catacombs of Domittilla Italy. Lord JESUS The CHRIST YESHUA HAMASHIACH (center) teaching disciples in The Last Supper.
#JesusIsLord #KINGDOM #metoo #bingejesus 
#RepresentationMatters https://t.co/Yip6s1PpBL",2022-10-28T14:35:08.000Z,0
en,"On #EconTwitter, #MeToo anger is boiling over https://t.co/jbiivKSMTt via @jenniferagerson @19thnews",2022-10-28T14:33:18.000Z,12
en,"WATCH: In 2017, Rosanna Arquette was one of the first women to come forward with allegations against Harvey Weinstein. Five years later, she says she’s still proud of what #MeToo accomplished.

“It galvanized the movement … globally around the world for women and all survivors.” https://t.co/jYF0VEOqXE",2022-10-28T00:32:00.000Z,15
en,"On #EconTwitter, #MeToo anger is boiling over https://t.co/kR28GqUuG3 via @19thnews' @jenniferagerson",2022-10-28T14:32:08.000Z,6
en,"On #EconTwitter, #MeToo anger is boiling over￼ https://t.co/38ZLw9Jsjo via @19thnews",2022-10-28T14:32:21.000Z,9
en,"On #EconTwitter, #MeToo anger is boiling over https://t.co/kR28GqUuG3 via @19thnews' @jenniferagerson",2022-10-28T14:32:08.000Z,6
en,@ColorsTV @BeingSalmanKhan I like #ArchanaGuatam and not my favorite is Sajid #metoo,2022-10-28T14:31:53.000Z,0
en,"So proud to know these incredible survivors, 5 years after #metoo and celebrated at #wif as Harvey is on trial, again. ⁦@SarahAnnMasse⁩ ⁦@thekatkendall⁩ great to meet u Lauren o’Connor. Proud to know you https://t.co/umBwdl07SM",2022-10-28T02:46:13.000Z,6
en,"They know inflation is global, and the dollar is at its highest value in 20 years. So smart #WomenVote.

They know which party swears loyalty to a ""grab 'em by the pussy"" leader so self-respecting #WomenVote.

They've seen the propaganda fight against #MeToo, so angry #WomenVote.",2022-10-28T14:25:52.000Z,0
en,"I grew up as an orphan, in part because of sexual violence against my mother. Before the orphanage we stayed in a women and children shelter.

Sexual harassment and the violence against women has incredible consequences. Abuse of women will not be tolerated. 

#EconTwitter #MeToo",2022-10-27T01:24:35.000Z,65
en,"In a sea of true crime podcasts, movies and tv series that focus on the violence that survivors are subjected to, I wanted to create a podcast with students about how we heal. 

Healing Comes in Waves is a love letter to survivors of all genders. #MeToo https://t.co/9IDsNR5ywr https://t.co/xP8P3jwHwv",2022-10-26T22:02:41.000Z,117
en,@ScottPresler @robreiner #MeToo I'm voting Republican,2022-10-28T14:23:05.000Z,2
en,10 females had made severe sexual harassment allegations against (director &amp; BiggBoss contestant) Sajid Khan in #MeToo campaign. Khan had asked a few minors to strip naked during auditions to get a role in his movies 'Housefull 4' &amp; 'Humshakals': DCW chief #SwatiMaliwal (ANI) https://t.co/7jSpT7I92G,2022-10-12T07:14:10.000Z,42
en,"Amber Heard makes the Me Too movement look like a complete joke and it sucks because #MeToo is for women who’s been abused rather it’s sexually, emotionally, mentally or physically, but here we have Amber Heard falsely accusing a man of abuse when he never laid a hand on her.",2022-10-28T12:40:48.000Z,14
en,10 females had made severe sexual harassment allegations against (director &amp; BiggBoss contestant) Sajid Khan in #MeToo campaign. Khan had asked a few minors to strip naked during auditions to get a role in his movies 'Housefull 4' &amp; 'Humshakals': DCW chief #SwatiMaliwal (ANI) https://t.co/7jSpT7I92G,2022-10-12T07:14:10.000Z,42
en,"""During #MeToo campaign of 2018, 10 women came out against Sajid Khan. A person who should be in jail is being celebrated on national television and is being given a platform to relaunch himself"": Swati Maliwal (@SwatiJaiHind), Chairperson, Delhi Commission for Women https://t.co/NbwMr5PLfW",2022-10-12T11:02:28.000Z,130
en,Ten females had made severe sexual harassment allegations against (director &amp; Bigg Boss contestant) #SajidKhan in #MeToo campaign. He had asked a few minors to strip naked during auditions to get a role in his movies 'Housefull 4' &amp; 'Humshakals': DCW chief Swati Maliwal (ANI) https://t.co/bUV91U0zZO,2022-10-12T07:10:21.000Z,227
en,"DCW chief @SwatiJaiHind wrote to Union MIB Anurag Thakur to remove filmmaker Sajid Khan out of BiggBoss over allegations of sexual harrasment against him during #metoo campaign. Swati said that she's getting rape threats after her complaint.
#SajidKhan #SwatiMaliwal #biggboss16 https://t.co/n2aTMcZLco",2022-10-12T12:03:17.000Z,95
en,"That the allegations against @GovMLG, a sitting governor, weren’t investigated in this #MeToo era defies belief and shows why #NewMexico ranks so poorly in so many metrics. #transparency 

https://t.co/g0ITObpAxU
@thenewmexican @danieljchacon @DanBoydNM",2022-10-28T14:16:09.000Z,3
en,"I guess the #metoo movement, doesn’t apply to all victims in NJ. https://t.co/9s0nDqVuDo",2022-10-28T10:57:07.000Z,44
en,"Huang 'Sophia' Xueqin is an incredible journalist, whose dedication to her work &amp; to the #MeToo movement has led to her imprisonment by the #CCP.
 
We are grateful to Lü Pin for accepting the award on Sophia's behalf. #IndexAwards22 https://t.co/ytyAW9v60n",2022-10-27T19:17:02.000Z,23
en,#MeToo started a lot earlier than you think … by @GretchenCarlson and @julieroginsky @LiftOurVoicesUS https://t.co/EoDV4jyZYZ,2022-10-28T14:15:05.000Z,6
en,"On whose instructions bogus #MeToo articles were written about him? Why did ""Paid Media Channel"" publish those articles which hold no truth and can't be substantiated?
@ips_nupurprasad @PMOIndia @HMOIndia
Centre Ensure SSRJustice",2022-10-28T02:50:29.000Z,7
en,"Excited to share the cover of my edited book!

The book is about the #MeToo movement in the global south. Early career scholars and grad students have contributed 15 of the 16 chapters in the book. Will be out in May 2023 with Oxford. https://t.co/Ue9WsqhvjL",2022-10-27T16:02:29.000Z,366
en,Congrats @sikivuhutch @zap_013 @WLProject2 ! #Metoo #DomesticViolence #Standing4BlackGirls,2022-10-28T14:11:14.000Z,2
en,"I also spoke to Dani Ayers of @MeTooMVMT: “I read a headline at the end of the Amber Heard and Johnny Depp trial that said, ‘The Death of #MeToo.’ So because that trial resulted the way it did, that somehow means our work is dead?”",2022-10-27T16:16:34.000Z,5
en,"shithole we have to tolerate to accommodate racist thugs, #TimesUp",2022-10-28T14:09:51.000Z,1
en,"🎃HAPPY HALLOWEEN EVERYONE🎃

""KELLCEY"" and ""(His)Story of Women"" are available worldwide on Amazon #MeToo #womenempowerment #stopviolenceagainstwomen https://t.co/j0CPbabNLj",2022-10-28T14:05:22.000Z,56
en,"🎃HAPPY HALLOWEEN EVERYONE🎃

""KELLCEY"" and ""(His)Story of Women"" are available worldwide on Amazon #MeToo #womenempowerment #stopviolenceagainstwomen https://t.co/j0CPbabNLj",2022-10-28T14:05:22.000Z,56
en,"Five years of #MeToo: NYTIMES complains not enough damage has been done https://t.co/F3QL329r7d 

But ""[t]he dominance of power and wealth, the source of the real abuses and crimes, goes untouched.”",2022-10-28T13:44:08.000Z,5
en,@catturd2 #metoo I’m totally here to watch the #liberalmeltdown,2022-10-28T14:03:45.000Z,0
en,"@del_corcoran James Hallinan speaks out against @GovMLG

“I’m the guy that the governor grabbed my [expletive] and did a lot of other bad things to me. I’m that guy,” Hallinan said in one of the calls.

https://t.co/zIHHtKL82d

#nm #nmpol #nmleg #Metoo",2022-10-28T14:03:37.000Z,1
en,"Let us wake up every morning determined to be the ""best you"" that you can be! #laviniaspeaks #goodmorning #PRIORITIZEVICTIMS #weslaysexualviolence #mentalhealth #metoo #oversomer #blackexcellence #sisterwarrior #lifecoach #takenoprisioners #breatheagain #womeninfilm https://t.co/HP2c0Qp9Pt",2022-10-28T14:03:36.000Z,2
en,"Brands in crisis increasingly turn to morals clauses to ""fire"" spokespeople for being out of sync with ""brand values.""

These clauses became more prevalent during #MeToo, but they can lead to costly disputes over what constitutes a contractual violation.
https://t.co/5TxqPBMPMY",2022-10-28T14:03:31.000Z,0
en,Those hands… 😁 #HunterBiden #Nervous #TimesUp #Treason,2022-10-28T14:03:13.000Z,0
en,"@ValerieRautenba @DaystarJoni Shalom, AMEN https://t.co/seP0S2Vcvt
GOD bless you. 👁️🙏🏿👁️✝️
Late 1st early 2nd Century Roman Catacombs of Domittilla Italy. Lord JESUS The CHRIST YESHUA HAMASHIACH (center) teaching disciples in The Last Supper.
#JesusIsLord #KINGDOM #metoo #bingejesus 
#RepresentationMatters https://t.co/k9Hy4078LJ",2022-10-28T14:02:37.000Z,0
en,"@rhettbry @BookMormon2day Shalom, AMEN https://t.co/seP0S2UEFV
GOD bless you. 👁️🙏🏿👁️✝️
Late 1st early 2nd Century Roman Catacombs of Domittilla Italy. Lord JESUS The CHRIST YESHUA HAMASHIACH (center) teaching disciples in The Last Supper.
#JesusIsLord #KINGDOM #metoo #bingejesus 
#RepresentationMatters https://t.co/dLEk3mjxad",2022-10-28T14:02:14.000Z,0
en,"Be the best version of you
Follow @thebullyexposed &amp; put an end to bullying together #instareels #endbullying #stopcyberbullying #stopworkplacebullying #thebullyexposed #stopbullyingnow #againstbullying #bullygram #inspire #cometogether #metoo #love #tbe #photooftheday #instagood https://t.co/boS9E5U8Ps",2022-10-28T14:02:02.000Z,1
en,"Five years ago, women around the world began publicly disclosing their experiences of sexual assault and harassment on social media using the hashtag #MeToo. https://t.co/p5cZc6bTqk",2022-10-28T14:00:21.000Z,0
en,"@MarianC1942 @BookMormon2day Shalom, AMEN https://t.co/seP0S3cfxt
GOD bless you. 👁️🙏🏿👁️✝️
Late 1st early 2nd Century Roman Catacombs of Domittilla Italy. Lord JESUS The CHRIST YESHUA HAMASHIACH (center) teaching disciples in The Last Supper.
#JesusIsLord #KINGDOM #metoo #bingejesus 
#RepresentationMatters https://t.co/TmhLtoiSLQ",2022-10-28T13:59:15.000Z,0
en,"@BabluSi68897876 @DaystarJoni Shalom, AMEN https://t.co/seP0S2Vcvt
GOD bless you. 👁️🙏🏿👁️✝️
Late 1st early 2nd Century Roman Catacombs of Domittilla Italy. Lord JESUS The CHRIST YESHUA HAMASHIACH (center) teaching disciples in The Last Supper.
#JesusIsLord #KINGDOM #metoo #bingejesus 
#RepresentationMatters https://t.co/L4rMGdjQfN",2022-10-28T13:58:14.000Z,0
en,"@dunamisfire777 @DaystarJoni Shalom, AMEN https://t.co/seP0S3cfxt
GOD bless you. 👁️🙏🏿👁️✝️
Late 1st early 2nd Century Roman Catacombs of Domittilla Italy. Lord JESUS The CHRIST YESHUA HAMASHIACH (center) teaching disciples in The Last Supper.
#JesusIsLord #KINGDOM #metoo #bingejesus 
#RepresentationMatters https://t.co/o7OQdkmbdP",2022-10-28T13:58:08.000Z,0
en,"@xio5397 @Paula_White @dunamisfire777 Shalom, AMEN https://t.co/seP0S3cfxt
GOD bless you. 👁️🙏🏿👁️✝️
Late 1st early 2nd Century Roman Catacombs of Domittilla Italy. Lord JESUS The CHRIST YESHUA HAMASHIACH (center) teaching disciples in The Last Supper.
#JesusIsLord #KINGDOM #metoo #bingejesus 
#RepresentationMatters https://t.co/mblbPfovS9",2022-10-28T13:58:06.000Z,0
en,"@OGOgiamien @DaystarJoni Shalom, AMEN https://t.co/seP0S2UEFV
GOD bless you. 👁️🙏🏿👁️✝️
Late 1st early 2nd Century Roman Catacombs of Domittilla Italy. Lord JESUS The CHRIST YESHUA HAMASHIACH (center) teaching disciples in The Last Supper.
#JesusIsLord #KINGDOM #metoo #bingejesus 
#RepresentationMatters https://t.co/N5ykVZe444",2022-10-28T13:58:06.000Z,0
en,@Cracking_Crypto Why are you supporting Alex J Thomas? Do you not support the #MeToo movement?,2022-10-28T13:57:25.000Z,0
en,"Calling out white feminists long standing issue with racism: 4 woc were murdered a day in 2020. 
WOC have 3xs the risk of homicide we, white women, do. Millions have been made in #MeToo and #TimesUp..what has been done to help all women overcome violence? https://t.co/JbMcbibSIl",2022-10-28T13:43:49.000Z,25
en,"On whose instructions bogus #MeToo articles were written about him? Why did ""Paid Media Channel"" publish those articles which hold no truth and can't be substantiated?
@ips_nupurprasad @PMOIndia @HMOIndia
Centre Ensure SSRJustice",2022-10-28T02:50:29.000Z,7
en,"The #MeToo movement led to increased diversity and representation in Hollywood, but now there is worry that the industry is regressing. https://t.co/muf4dzh4UK",2022-10-25T03:00:03.000Z,89
en,"Calling out white feminists long standing issue with racism: 4 woc were murdered a day in 2020. 
WOC have 3xs the risk of homicide we, white women, do. Millions have been made in #MeToo and #TimesUp..what has been done to help all women overcome violence? https://t.co/JbMcbibSIl",2022-10-28T13:43:49.000Z,25
en,"Calling out white feminists long standing issue with racism: 4 woc were murdered a day in 2020. 
WOC have 3xs the risk of homicide we, white women, do. Millions have been made in #MeToo and #TimesUp..what has been done to help all women overcome violence? https://t.co/JbMcbibSIl",2022-10-28T13:43:49.000Z,25
en,"WOW! 1,015 tips have been called into the Michigan Attorney General's clergy abuse hotline. Imagine if other AGs launched REAL investigations with REAL outreach efforts!
#CSA #clergy #churchtoo #SNAPHeals #RCCAbuse  #ChurchToo #SBCtoo #SBCdatabaseNOW 

https://t.co/nif2GUduU6",2022-10-28T12:28:53.000Z,11
en,"Top story: @so_difoucault: 'Excited to share the cover of my edited book!

The book is about the #MeToo movement in the global south. Early career scholars and grad students have contributed 15 of the 16 chapters in the… https://t.co/IkEj7PlrAi, see more https://t.co/e1iAjDUpvQ",2022-10-28T10:12:39.000Z,5
en,@SaraGonzalesTX You give the word and any of your fellow Texans got your back ma’am! 👋 #metoo,2022-10-28T13:47:51.000Z,2
en,"@Pinkymii3 Well, if Twitter hadn’t taken down my original account, you could see my Tweets supporting most of those things. But alas, it was reported for hate speech because I said we went from #metoo to #sitdownandshutup real fast.

Now, we’re silenced for saying women should feel safe.",2022-10-28T13:47:16.000Z,0
en,"On whose instructions bogus #MeToo articles were written about him? Why did ""Paid Media Channel"" publish those articles which hold no truth and can't be substantiated?
@ips_nupurprasad @PMOIndia @HMOIndia
Centre Ensure SSRJustice",2022-10-28T02:50:29.000Z,7
en,"Fr. Mark McQuesten is an active MI priest accused of abusing a kid, disrobing with one, writing a kid love ltrs,  excessively hugging &amp; having kids overnite in motels &amp; rectory, taking kids to a nudie beach, talking w/ them re sex. #churchtoo #clergy #CSA

https://t.co/uLWENSBjco",2022-10-28T13:24:51.000Z,13
en,"Five years of #MeToo: NYTIMES complains not enough damage has been done https://t.co/F3QL329r7d 

But ""[t]he dominance of power and wealth, the source of the real abuses and crimes, goes untouched.”",2022-10-28T13:44:08.000Z,5
